Timestamp,velocidad_viento,precipitacion,humedad,temperatura,presion_superficie,radiacion_solar,radiacion_infrarroja
2025-01-08 12:00:00,6.27563,0.0,0.00344355,285.927,98857.4,0.0,295.418
2025-01-08 15:00:00,6.01056,0.0,0.00342985,285.647,99021.0,4.64338,290.457
2025-01-08 18:00:00,7.40838,0.0,0.00362585,289.722,99091.9,252.829,293.701
2025-01-08 21:00:00,10.9478,0.0,0.00324201,292.029,98929.5,505.927,307.082
2025-01-09 00:00:00,9.18218,0.0,0.00317328,290.849,98919.9,296.879,311.352
2025-01-09 03:00:00,4.67395,0.0,0.00338345,286.512,99142.3,12.3322,304.196
2025-01-09 06:00:00,4.13711,0.0,0.00308792,285.739,99237.1,0.0,292.03
2025-01-09 09:00:00,4.33581,0.0,0.00292785,285.172,99138.0,0.0,287.414
2025-01-09 12:00:00,3.71579,0.0,0.0028104,284.642,99095.7,0.0,284.404
2025-01-09 15:00:00,2.57803,0.0,0.00289309,284.517,99215.3,4.8089,282.416
2025-01-09 18:00:00,1.68749,0.0,0.00322375,291.092,99364.2,254.416,288.951
2025-01-09 21:00:00,5.42386,0.0,0.00342625,292.437,99154.7,507.954,309.647
2025-01-10 00:00:00,5.09547,0.0,0.0034871,291.667,99158.7,298.591,314.666
2025-01-10 03:00:00,7.38767,0.0,0.00275258,288.891,99386.5,12.4866,309.265
2025-01-10 06:00:00,6.20088,0.0,0.00273047,288.302,99595.3,0.0,297.941
2025-01-10 09:00:00,5.22168,0.0,0.00259686,285.617,99679.7,0.0,292.922
2025-01-10 12:00:00,4.61157,0.0,0.00243604,284.099,99691.7,0.0,283.502
2025-01-10 15:00:00,3.79793,0.0,0.00221715,283.092,99857.1,4.98327,277.177
2025-01-10 18:00:00,1.51184,0.0,0.00266914,288.822,99941.4,256.079,279.322
2025-01-10 21:00:00,4.31997,0.0,0.00276401,289.912,99656.8,510.071,297.387
2025-01-11 00:00:00,0.984991,0.0,0.00404126,287.957,99606.1,300.384,301.727
2025-01-11 03:00:00,1.1821,0.0,0.00379008,284.869,99564.4,12.6485,298.501
2025-01-11 06:00:00,2.13844,0.0,0.00256718,284.822,99444.2,0.0,287.582
2025-01-11 09:00:00,0.330149,0.0,0.00258729,283.454,99388.5,0.0,280.642
2025-01-11 12:00:00,0.763808,0.0,0.00276329,282.909,99259.0,0.0,276.658
2025-01-11 15:00:00,1.55467,0.0,0.00247491,282.952,99226.5,5.16659,275.405
2025-01-11 18:00:00,0.974603,0.0,0.002668,288.559,99200.8,257.816,279.644
2025-01-11 21:00:00,4.09204,0.0,0.00333146,289.399,98809.7,512.276,296.935
2025-01-12 00:00:00,2.60171,0.0,0.00678966,286.602,98684.0,302.256,304.767
2025-01-12 03:00:00,1.9224,0.0,0.00570439,284.444,98737.8,12.8178,306.286
2025-01-12 06:00:00,4.81437,0.0,0.00268827,285.317,98873.4,0.0,294.395
2025-01-12 09:00:00,4.06855,0.0,0.00258125,284.842,98854.6,0.0,283.998
2025-01-12 12:00:00,4.09516,0.0,0.00221887,283.617,98922.9,0.0,280.049
2025-01-12 15:00:00,4.44,0.0,0.00218073,283.134,99105.4,5.3589,274.738
2025-01-12 18:00:00,2.39733,0.0,0.00276672,289.642,99216.5,259.629,279.947
